Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Add_Fishes_To_Cart,Edge Chromium 123,,,21-04-2024 17:52:34,21-04-2024 17:53:28,53.954s,PASSED
,,,,,,,
Test Cases/Add_Fish_To_Cart,Edge Chromium 123,,,21-04-2024 17:52:34,21-04-2024 17:53:28,53.141s,PASSED
"openBrowser("""")",Edge Chromium 123,,,21-04-2024 17:52:36,21-04-2024 17:52:52,15.620s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 123,,,21-04-2024 17:52:52,21-04-2024 17:52:56,4.310s,PASSED
"click(findTestObject(""Object Repository/Add_Fish_To_Cart/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 123,,,21-04-2024 17:52:56,21-04-2024 17:53:02,5.826s,PASSED
"click(findTestObject(""Object Repository/Add_Fish_To_Cart/Page_JPetStore Demo/img""))",Edge Chromium 123,,,21-04-2024 17:53:02,21-04-2024 17:53:04,1.732s,PASSED
"click(findTestObject(""Object Repository/Add_Fish_To_Cart/Page_JPetStore Demo/a_FI-SW-01""))",Edge Chromium 123,,,21-04-2024 17:53:04,21-04-2024 17:53:05,1.576s,PASSED
"click(findTestObject(""Object Repository/Add_Fish_To_Cart/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 123,,,21-04-2024 17:53:05,21-04-2024 17:53:10,4.549s,PASSED
"click(findTestObject(""Object Repository/Add_Fish_To_Cart/Page_JPetStore Demo/img""))",Edge Chromium 123,,,21-04-2024 17:53:10,21-04-2024 17:53:14,4.316s,PASSED
"click(findTestObject(""Object Repository/Add_Fish_To_Cart/Page_JPetStore Demo/a_FI-FW-02""))",Edge Chromium 123,,,21-04-2024 17:53:14,21-04-2024 17:53:17,2.997s,PASSED
"click(findTestObject(""Object Repository/Add_Fish_To_Cart/Page_JPetStore Demo/a_Add to Cart_1""))",Edge Chromium 123,,,21-04-2024 17:53:17,21-04-2024 17:53:20,2.856s,PASSED
closeBrowser(),Edge Chromium 123,,,21-04-2024 17:53:20,21-04-2024 17:53:28,7.707s,PASSED
