Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Purchase_Dog,Edge Chromium 123,,,21-04-2024 15:26:44,21-04-2024 15:27:03,19.258s,PASSED
,,,,,,,
Test Cases/Purchase_Dog,Edge Chromium 123,,,21-04-2024 15:26:44,21-04-2024 15:27:03,18.970s,PASSED
"callTestCase(findTestCase(""Login""), [:], STOP_ON_FAILURE)",Edge Chromium 123,,,21-04-2024 15:26:45,21-04-2024 15:26:57,12.003s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/img""))",Edge Chromium 123,,,21-04-2024 15:26:57,21-04-2024 15:26:58,0.679s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=DOGS"")",Edge Chromium 123,,,21-04-2024 15:26:58,21-04-2024 15:26:58,0.259s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_K9-RT-01""))",Edge Chromium 123,,,21-04-2024 15:26:58,21-04-2024 15:26:59,0.698s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 123,,,21-04-2024 15:26:59,21-04-2024 15:27:00,0.669s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Proceed to Checkout""))",Edge Chromium 123,,,21-04-2024 15:27:00,21-04-2024 15:27:00,0.734s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/input_Ship to different address_newOrder""))",Edge Chromium 123,,,21-04-2024 15:27:00,21-04-2024 15:27:01,0.675s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Confirm""))",Edge Chromium 123,,,21-04-2024 15:27:01,21-04-2024 15:27:02,0.710s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_JPetStore Demo/li_Thank you, your order has been submitted""), ""Thank you, your order has been submitted."")",Edge Chromium 123,,,21-04-2024 15:27:02,21-04-2024 15:27:02,0.447s,PASSED
"click(findTestObject(""Object Repository/Page_JPetStore Demo/a_Sign Out""))",Edge Chromium 123,,,21-04-2024 15:27:02,21-04-2024 15:27:03,0.735s,PASSED
closeBrowser(),Edge Chromium 123,,,21-04-2024 15:27:03,21-04-2024 15:27:03,0.481s,PASSED
