Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Add_Bird_To_Cart,Edge Chromium 123,,,21-04-2024 17:52:51,21-04-2024 17:53:26,34.331s,PASSED
,,,,,,,
Test Cases/Add_Bird_To_Cart,Edge Chromium 123,,,21-04-2024 17:52:53,21-04-2024 17:53:26,32.788s,PASSED
"openBrowser("""")",Edge Chromium 123,,,21-04-2024 17:52:56,21-04-2024 17:53:09,13.440s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 123,,,21-04-2024 17:53:09,21-04-2024 17:53:12,2.465s,PASSED
"click(findTestObject(""Object Repository/Add_Bird_To_Cart/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 123,,,21-04-2024 17:53:12,21-04-2024 17:53:16,4.074s,PASSED
"click(findTestObject(""Object Repository/Add_Bird_To_Cart/Page_JPetStore Demo/img""))",Edge Chromium 123,,,21-04-2024 17:53:16,21-04-2024 17:53:17,1.229s,PASSED
"click(findTestObject(""Object Repository/Add_Bird_To_Cart/Page_JPetStore Demo/a_AV-CB-01""))",Edge Chromium 123,,,21-04-2024 17:53:17,21-04-2024 17:53:19,2.234s,PASSED
"click(findTestObject(""Object Repository/Add_Bird_To_Cart/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 123,,,21-04-2024 17:53:19,21-04-2024 17:53:21,1.698s,PASSED
closeBrowser(),Edge Chromium 123,,,21-04-2024 17:53:21,21-04-2024 17:53:26,4.634s,PASSED
