Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login,Edge Chromium 123,,,21-04-2024 16:42:47,21-04-2024 16:43:10,22.416s,PASSED
,,,,,,,
Test Cases/Login,Edge Chromium 123,,,21-04-2024 16:42:57,21-04-2024 16:43:10,12.534s,PASSED
"openBrowser("""")",Edge Chromium 123,,,21-04-2024 16:42:57,21-04-2024 16:43:02,5.057s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 123,,,21-04-2024 16:43:02,21-04-2024 16:43:04,1.475s,PASSED
"click(findTestObject(""Object Repository/PetStore/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 123,,,21-04-2024 16:43:04,21-04-2024 16:43:05,1.608s,PASSED
"click(findTestObject(""Object Repository/PetStore/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 123,,,21-04-2024 16:43:05,21-04-2024 16:43:06,0.923s,PASSED
"setText(findTestObject(""Object Repository/PetStore/Page_JPetStore Demo/input_Need a user name and password_username""), ""j2ee"")",Edge Chromium 123,,,21-04-2024 16:43:06,21-04-2024 16:43:07,1.203s,PASSED
"click(findTestObject(""Object Repository/PetStore/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 123,,,21-04-2024 16:43:07,21-04-2024 16:43:09,1.501s,PASSED
waitForPageLoad(10),Edge Chromium 123,,,21-04-2024 16:43:09,21-04-2024 16:43:10,0.615s,PASSED
