Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Navigate,Edge Chromium 123,,,21-04-2024 17:37:53,21-04-2024 17:38:37,43.866s,PASSED
,,,,,,,
Test Cases/Navigate,Edge Chromium 123,,,21-04-2024 17:37:55,21-04-2024 17:38:37,41.663s,PASSED
"openBrowser("""")",Edge Chromium 123,,,21-04-2024 17:37:58,21-04-2024 17:38:17,19.041s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 123,,,21-04-2024 17:38:17,21-04-2024 17:38:20,3.088s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 123,,,21-04-2024 17:38:20,21-04-2024 17:38:23,3.073s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/img""))",Edge Chromium 123,,,21-04-2024 17:38:23,21-04-2024 17:38:25,1.666s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/img_1""))",Edge Chromium 123,,,21-04-2024 17:38:25,21-04-2024 17:38:27,1.838s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/img_1_2""))",Edge Chromium 123,,,21-04-2024 17:38:27,21-04-2024 17:38:28,1.274s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/img_1_2_3""))",Edge Chromium 123,,,21-04-2024 17:38:28,21-04-2024 17:38:29,1.225s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/img_1_2_3_4""))",Edge Chromium 123,,,21-04-2024 17:38:29,21-04-2024 17:38:30,0.939s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 123,,,21-04-2024 17:38:30,21-04-2024 17:38:32,1.300s,PASSED
closeBrowser(),Edge Chromium 123,,,21-04-2024 17:38:32,21-04-2024 17:38:37,5.282s,PASSED
