Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Navigate,Edge Chromium 123,,,21-04-2024 17:52:46,21-04-2024 17:53:28,41.671s,PASSED
,,,,,,,
Test Cases/Navigate,Edge Chromium 123,,,21-04-2024 17:52:48,21-04-2024 17:53:28,39.747s,PASSED
"openBrowser("""")",Edge Chromium 123,,,21-04-2024 17:52:51,21-04-2024 17:53:09,17.790s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 123,,,21-04-2024 17:53:09,21-04-2024 17:53:11,2.115s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 123,,,21-04-2024 17:53:11,21-04-2024 17:53:15,4.416s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/img""))",Edge Chromium 123,,,21-04-2024 17:53:15,21-04-2024 17:53:18,2.267s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/img_1""))",Edge Chromium 123,,,21-04-2024 17:53:18,21-04-2024 17:53:20,2.394s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/img_1_2""))",Edge Chromium 123,,,21-04-2024 17:53:20,21-04-2024 17:53:22,1.702s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/img_1_2_3""))",Edge Chromium 123,,,21-04-2024 17:53:22,21-04-2024 17:53:23,1.012s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/img_1_2_3_4""))",Edge Chromium 123,,,21-04-2024 17:53:23,21-04-2024 17:53:24,1.322s,PASSED
"click(findTestObject(""Object Repository/Navigate/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 123,,,21-04-2024 17:53:24,21-04-2024 17:53:25,0.967s,PASSED
closeBrowser(),Edge Chromium 123,,,21-04-2024 17:53:25,21-04-2024 17:53:28,2.570s,PASSED
