Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Add_Reptile_To_Cart,Edge Chromium 123,,,21-04-2024 17:37:49,21-04-2024 17:38:32,42.738s,PASSED
,,,,,,,
Test Cases/Add_Reptile_To_Cart,Edge Chromium 123,,,21-04-2024 17:37:51,21-04-2024 17:38:32,41.152s,PASSED
"openBrowser("""")",Edge Chromium 123,,,21-04-2024 17:37:52,21-04-2024 17:38:15,22.660s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 123,,,21-04-2024 17:38:15,21-04-2024 17:38:16,1.750s,PASSED
"click(findTestObject(""Object Repository/Add_Reptile_To_Cart/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 123,,,21-04-2024 17:38:16,21-04-2024 17:38:19,2.885s,PASSED
"click(findTestObject(""Object Repository/Add_Reptile_To_Cart/Page_JPetStore Demo/img""))",Edge Chromium 123,,,21-04-2024 17:38:19,21-04-2024 17:38:20,1.174s,PASSED
"click(findTestObject(""Object Repository/Add_Reptile_To_Cart/Page_JPetStore Demo/a_RP-SN-01""))",Edge Chromium 123,,,21-04-2024 17:38:20,21-04-2024 17:38:22,1.573s,PASSED
"click(findTestObject(""Object Repository/Add_Reptile_To_Cart/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 123,,,21-04-2024 17:38:22,21-04-2024 17:38:24,1.595s,PASSED
closeBrowser(),Edge Chromium 123,,,21-04-2024 17:38:24,21-04-2024 17:38:32,8.342s,PASSED
